ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D01QML,,Wyeth Ayerst Laboratories,Antipsychotic Agents,Small molecular drug,Approved
D01QUS,,LEO Pharma Inc,Antipsoriatic Agents,Small molecular drug,Approved
D01STB,,Sanofi-Aventis,Antihypertensive Agents,Small molecular drug,Approved
D01TSI,,Eli Lilly,Analgesics,Small molecular drug,Approved
D01UTL,,Sanofi Aventis Us Llc,Antidepressants,Small molecular drug,Approved
D01XDL,,Ben Venue Laboratories,Anticancer Agents,Small molecular drug,Approved
D01XLM,,Glaxosmithkline,Antinematodal Agents,Small molecular drug,Approved
D01XNB,,AstraZeneca,Antiulcer Agents,Small molecular drug,Approved
D01XYJ,,GlaxoSmithKline,Anti-HIV Agents,Small molecular drug,Approved
D01ZAQ,Truqap,AstraZeneca,,Small molecular drug,Approved
D01ZII,,GlaxoSmithKline,Antipsychotic Agents,Small molecular drug,Approved
D01ZJK,,Celcius Laboratories,Anticoagulants,Small molecular drug,Approved
D01ZRI,,Pfizer,Anticancer Agents,Small molecular drug,Approved
D01ZSO,,Hoffmann-La Roche pharmaceutical company,Antidepressants,Small molecular drug,Approved
D02DGU,,Roche Pharmaceuticals,Keratolytic Agents,Small molecular drug,Approved
D02DMQ,,Pfizer Inc,Antimigraine Agents,Small molecular drug,Approved
D02DPA,,GlaxoSmithKline,Antiulcer Agents,Small molecular drug,Approved
D02GIU,,Merck,Antibiotics,Small molecular drug,Approved
D02HED,,Schering-Plough Corporation,Antipsychotic Agents,Small molecular drug,Approved
D02IIE,,Glaxosmithkline,Antiinfective Agents,Small molecular drug,Approved
D02IIW,,Suntory,Respiratory Agents,Small molecular drug,Approved
D02IQY,,Sandoz,Vasodilator Agents,Small molecular drug,Approved
D02KOF,,Pharmacia Corp,Antibiotics,Small molecular drug,Approved
D02LDN,,Mitsuwa Kinzoku Co,Analgesics,Small molecular drug,Approved
D02LDV,,Eli Lilly And Co,Neurology Agents,Small molecular drug,Approved
D02MLW,,Pfizer Pharmaceuticals,Antiarrhythmic Agents,Small molecular drug,Approved
D02MZY,,Wyeth Ayerst Laboratories,Antibiotics,Small molecular drug,Approved
D02NSF,,Pain Therapeutics Inc,Neurology Agents,Small molecular drug,Approved
D02NTO,,Schering-Plough,Antifungal Agents,Small molecular drug,Approved
D02OZE,,GlaxoSmithKline,Antiarrhythmic Agents,Small molecular drug,Approved
D02OZY,,Abbott Laboratories,Anticonvulsants,Small molecular drug,Approved
D02PAH,,Crescent Pharmaceuticals,Antihypertensive Agents,Small molecular drug,Approved
D02PCR,,Pharmacia & Upjohn Company,Antibiotics,Small molecular drug,Approved
D02PMO,,GlaxoSmithKline,Anticancer Agents,Small molecular drug,Approved
