ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D02GLD,,Bionovo Inc; Daewon Pharm Co Ltd,,,Phase 3
D02MBN,,"Pfizer New York, NY",,,Phase 3
D02MPT,,GlaxoSmithKline,,,Phase 3
D02QQE,,"Nektar Therapeutics San Francisco, CA",,,Phase 3
D02QQV,,Acambis Inc,,,Phase 3
D02QWK,,"inhibitor, Lexington, MA",,,Phase 3
D02RED,,Northwest Biotherapeutics,,,Phase 3
D02TAB,,CJ Corp,,,Phase 3
D02TJT,,Merck,,,Phase 3
D02UNP,,Immatics biotechnologies GmbH,,,Phase 3
D02WST,,Emisphere Technologies Inc,,,Phase 3
D02XEI,,Northwest biotherapeutics,,,Phase 3
D02XYA,,GlaxoSmithKline,,,Phase 3
D02ZBW,,LG Life Sciences Ltd,,,Phase 3
D02ZHW,,Advanced accelerator applications,,,Phase 3
D03BIH,,"Promius Pharma Princeton, NJ",,,Phase 3
D03BVW,,Merck; sanofi pasteur,,,Phase 3
D03EBV,,Janssen Pharmaceutical KK,,,Phase 3
D03ERR,,Kitasato Institute,,,Phase 3
D03GCR,,Merck,,,Phase 3
D03GHV,,MD Anderson Cancer Center,,,Phase 3
D03HDV,,Daewoong Pharmaceutical Co Ltd,,,Phase 3
D03KDO,,Osiris Therapeutics,,,Phase 3
D03MYX,,Armo biosciences,,,Phase 3
D03PGS,,"GlaxoSmithKline Research Triangle Park, NC Ionis Pharmaceuticals, Carlsbad, CA",,,Phase 3
D03PLR,,Immune response biopharma,,,Phase 3
D03QBT,,GenVec,,,Phase 3
D03QBY,,Instituto Bioclon Sa De CV,,,Phase 3
D03QFN,,GlaxoSmithKline,,,Phase 3
D03QTM,,Agenus,,,Phase 3
D03RLP,,Genzyme,,,Phase 3
D03SIA,,Baxter international; inspiration biopharmaceuticals,,,Phase 3
D03TSR,,ALK-Abello,,,Phase 3
D03YZJ,,Elite Pharmaceuticals; pfizer,,,Phase 3
D03ZAE,,Phage Biotechnology Corp,,,Phase 3
D04AYZ,,Csl behring,,,Phase 3
D04BLE,,AstraZeneca plc,,,Phase 3
D04BVN,,Adocia SAS,,,Phase 3
D04DMZ,,"AveXis Bannockburn, IL",,,Phase 3
D04EQX,,"Biogen Cambridge, MA",,,Phase 3
D04ETV,,Warner Chilcott plc,,,Phase 3
D04FQD,,Pherin Corp,,,Phase 3
D04FYL,,Introgen Therapeutics,,,Phase 3
D04FYU,,Bristol-Myers Squibb Pharma Co,,,Phase 3
D04IJZ,,Thrombogenics,,,Phase 3
D04INP,,Immunex Corp,,,Phase 3
D04IUB,,Neos therapeutics,,,Phase 3
D04JYK,,Green Cross Corp,,,Phase 3
D04LQN,,Vital therapies,,,Phase 3
D04MZR,,Astra Hassle AB,,,Phase 3
D04NPR,,"Lundbeck Deerfield, IL",,,Phase 3
D04OGP,,LEO Pharma A/S,,,Phase 3
D04QXF,,Harvard Medical School,,,Phase 3
D04RNN,,Sunovion,,,Phase 3
D04TFE,,CreaGene Inc,,,Phase 3
D04UFY,,Ultragenyx Pharmaceutical,,,Phase 3
D04UWU,,Kinex Pharmaceuticals,,,Phase 3
D04VCS,,ISTO Technologies,,,Phase 3
D04WBT,,,,Small molecular drug,Phase 3
D04WQT,,Roche,,,Phase 3
D04WTN,,University of Florida,,,Phase 3
D04WVI,,BioBalance Corporation,,,Phase 3
D04YHG,,Lipoxen plc,,,Phase 3
D04YWM,,ZymoGenetics; Serono,,,Phase 3
D04ZYP,,Circassia,,,Phase 3
D05BCU,,Pfizer Inc,,,Phase 3
D05BII,,Knoll GmbH; Neurobiological Technologies,,,Phase 3
D05CGO,,Pharmalink AB,,,Phase 3
D05DZK,,LG Life Sciences Ltd,,,Phase 3
D05FIP,,"BioNumerik Pharmaceuticals San Antonio, TX",,,Phase 3
D05FOF,,Coherus biosciences,,,Phase 3
D05FRP,,Celldex Therapeutics,,,Phase 3
D05GJP,,LG Life Sciences Ltd,,,Phase 3
D05GZB,,"Regeneron Tarrytown, NY Sanofi Genzyme Cambridge, MA",,,Phase 3
D05JEG,,Biomarin pharmaceutical,,,Phase 3
D05JEL,,"Nektar San Francisco, CA",,,Phase 3
D05LDQ,,Bayer HealthCare Pharmaceuticals,,,Phase 3
D05LOB,,Faron Pharmaceuticals Ltd,,,Phase 3
D05LPP,,Shire,,,Phase 3
D05MNV,,Jomaa Pharma GmbH,,,Phase 3
D05PGG,,"Bavarian NordicMorrisville, NCBristol-Myers Squibb Princeton, NJ",,,Phase 3
D05PGU,,"Sanofi Pasteur Swiftwater, PA",,,Phase 3
D05PWU,,BN ImmunoTherapeutics,,,Phase 3
D05QKZ,,Cytori therapeutics,,,Phase 3
D05RUH,,"Foamix Bridgewater, NJ",,,Phase 3
D05SNX,,Inflazyme Pharmaceuticals,,,Phase 3
D05UXU,,Scigenic & Scigen Harvest Co Ltd,,,Phase 3
D05WKQ,,Novo Nordisk,,,Phase 3
D05WTT,,Immune response biopharma,,,Phase 3
D05WUN,,Osiris Therapeutics Inc,,,Phase 3
D05XDZ,,TauRx Therapeutics Pte Ltd,,,Phase 3
D05XKW,,ViroMed Co Ltd,,,Phase 3
D05YES,,Nabi Biopharmaceuticals,,,Phase 3
D05ZIF,,"Promius Pharma Princeton, NJ",,,Phase 3
D06BBO,,Dr Beckmann Pharma GmbH,,,Phase 3
D06BGO,,Telik,,,Phase 3
D06GGL,,"Fresenius Kabi Bad Homburg, Germany",,,Phase 3
D06GOF,,"Ortho Dermatologics Raleigh, NC",,,Phase 3
D06KLJ,,C3 Jian Inc,,,Phase 3
D06LEG,,"Seqirus Cambridge, MA",,,Phase 3
D06OIG,,GlaxoSmithKline,,,Phase 3
D06PBH,,Novo Nordisk,,,Phase 3
D06PEW,,Insert Therapeutics,,,Phase 3
D06SJO,,GlaxoSmithKline Biologicals,,,Phase 3
D06SVC,,Zymenex A/S,,,Phase 3
D06UNY,,"Novan Morrisville, NC",,,Phase 3
D06XMF,,KT&G Corp,,,Phase 3
D06ZJD,,Neostem oncology; california stem cell,,,Phase 3
D07BCU,,"Cancer Prevention Pharmaceuticals Tucson, AZ",,,Phase 3
D07CCV,,Merck,,,Phase 3
D07CPM,,"SandozHolzkirchen, Germany",,,Phase 3
D07DTM,,Salvat Laboratories,,,Phase 3
D07EUY,,Glaxosmithkline; novavax; vaxart,,,Phase 3
D07FPJ,,Insmed Inc,,,Phase 3
D07GNL,,GlaxoSmithKline plc,,,Phase 3
D07HAR,,Omeros Corp,,,Phase 3
D07JIN,,"Foamix Bridgewater, NJ",,,Phase 3
D07JRF,,CEL-SCI,,,Phase 3
D07JZT,,Sandoz,,,Phase 3
D07OAO,,"Ionis Pharmaceuticals Carlsbad, CA Roche Basel, Switzerland",,,Phase 3
D07PML,,"TG Therapeutics New York, NY",,,Phase 3
D07PTH,,University of California San Diego,,,Phase 3
D07RHF,,"Gage Development Rosemont, IL",,,Phase 3
D07STB,,"Edge Therapeutics Berkeley Heights, NJ",,,Phase 3
D07TMR,,Isis Pharmaceuticals,,,Phase 3
D07TSS,,"MesoblastNew York, NY",,,Phase 3
D07UAS,,Polaris Pharmaceuticals,,,Phase 3
D07VAQ,,Mogam Biotechnology Research Institute,,,Phase 3
D07WPE,,Bayer AG,,,Phase 3
D07WTG,,SinoBiomed Inc,,,Phase 3
D07ZSU,,"Apimeds Gyeonggi-do, South Korea",,,Phase 3
D08BMC,,Laboratorios Leti SL,,,Phase 3
D08BNJ,,Merck; sanofi pasteur,,,Phase 3
D08CEA,,"Therapeutics, San Diego, CA",,,Phase 3
D08GIH,,Molmed,,,Phase 3
D08HWV,,"BeiGene Cambridge, MA",,,Phase 3
D08KGY,,Sophiris,,,Phase 3
D08KXO,,"Castle Creek Pharmaceuticals Parsippany, NJ",,,Phase 3
D08NAI,,,,Antibody,Phase 3
D08OES,,Gamida Cell,,,Phase 3
D08OGB,,MediGene Ltd,,,Phase 3
D08PBQ,,"NewLink Genetics Ames, IA",,,Phase 3
D08PHD,,Duramed Research Inc,,,Phase 3
D08POF,,Ablynx,,,Phase 3
D08RBW,,"Eli Lilly Indianapolis, IN",,,Phase 3
D08TBK,,"Bristol-Myers Squibb Princeton, NJ",,,Phase 3
D08UZP,,Allergy therapeutics,,,Phase 3
D08VWK,,"PaxVax Redwood City, CA",,,Phase 3
D08XMM,,GlaxoSmithKline; Nabi Biopharmaceuticals,,,Phase 3
D08YTF,,,,Antibody,Phase 3
D08ZJJ,,GlaxoSmithKline plc,,,Phase 3
D09APA,,Recoly NV,,,Phase 3
D09AYM,,"Xbiotech Austin, TX",,,Phase 3
D09BKY,,Roche,,,Phase 3
D09EYN,,"NovavaxGaithersburg, MD",,,Phase 3
D09FKY,,Giuliani SpA,,,Phase 3
D09FNI,,"Novo Nordisk, Princeton, NJ",,,Phase 3
D09FQW,,TheraVida Inc,,,Phase 3
D09HOJ,,Nihon Pharmaceutical Industry Co Ltd,,,Phase 3
D09HTB,,Sanofi-Aventis,,,Phase 3
D09JYL,,"Forty Seven Menlo Park, CA",,,Phase 3
D09KHE,,Endo Pharmaceuticals,,,Phase 3
D09KRV,,OMRIX Biopharmaceuticals SA,,,Phase 3
D09LHG,,Yuyu Inc,,,Phase 3
D09MED,,Tocagen,,,Phase 3
D09MHN,,Aastrom biosciences,,,Phase 3
D09MKH,,Tris pharma,,,Phase 3
D09NAF,,Avid Radiopharmaceuticals,,,Phase 3
D09NDM,,Inpharma SA,,,Phase 3
D09OHH,,Osmotica pharmaceutical,,,Phase 3
D09OHW,,Binex Co Ltd,,,Phase 3
D09PTY,,Merck & Co Inc,,,Phase 3
D09RPB,,"Promius Pharma Princeton, NJ",,,Phase 3
D09SHH,,Baxter International Inc,,,Phase 3
D09TJJ,,"FibroGenSan Francisco, CA",,,Phase 3
D09UVK,,"Merck Kenilworth, NJ, Pfizer New York, NY",,,Phase 3
D09VSV,,Pherin pharmaceuticals,,,Phase 3
D09WRG,,Teva pharmaceutical; mesoblast,,,Phase 3
D09WZG,,Instituto Bioclon Sa De CV,,,Phase 3
D09XMX,,AstraZeneca,,,Phase 3
D0A0NZ,,University of Heidelberg,,,Phase 3
D0A0QH,,"SOTIOPrague, Czech Republic",,,Phase 3
D0A2BO,,SuperGen Inc,,,Phase 3
D0A3FQ,,Sanofi Pasteur,,,Phase 3
D0A3FZ,,BM ImmunoTherapeutics,,,Phase 3
D0A4DP,,Bayer HealthCare Pharmaceuticals,,,Phase 3
D0A4FE,,Osmotica Pharmaceutical Corp,,,Phase 3
D0A8KX,,Maruho Co Ltd,,,Phase 3
D0A8PC,,Chiron,,,Phase 3
D0AD4Z,,"Regeneron Pharmaceuticals Tarrytown, NY Teva Pharmaceuticals USA North Wales, PA",,,Phase 3
D0AE6Q,,"Novartis Oncology East Hanover, NJ",,,Phase 3
D0AJ5E,,"Salix Pharmaceuticals Raleigh, NC",,,Phase 3
D0AR8G,,"Cytori Therapeutics San Diego, CA",,,Phase 3
D0AY0U,,"GenentechSouth San Francisco, CA",,,Phase 3
D0B2IR,,"Galderma Fort Worth, TX",,,Phase 3
D0B2LC,,"Noven Pharmaceuticals Miami, FL",,,Phase 3
D0B2ZZ,,AstraZeneca,,,Phase 3
D0B3XG,,Csl behring,,,Phase 3
D0B4ES,,Intarcia Therapeutics,,,Phase 3
D0B4OF,,Research Triangle Institute,,,Phase 3
D0B5VV,,Novo Nordisk,,,Phase 3
D0B6WP,,GlaxoSmithKline plc,,,Phase 3
D0B7AB,,Reliance Life Sciences Group,,,Phase 3
D0B7DW,,"Shire, Lexington, MA",,,Phase 3
D0B7MO,,"Pfizer New York, NY",,,Phase 3
D0B9RG,,"Janssen Research & Development Raritan, NJ; ViiV Healthcare Research Triangle Park, NC",,,Phase 3
D0BC0F,,Osmotica Pharmaceutical Corp,,,Phase 3
D0BF8Y,,Oncolytics biotech,,,Phase 3
D0BO7P,,"Gilead Sciences Foster City, CA",,,Phase 3
D0C2XI,,Schering-Plough,,,Phase 3
D0C3YN,,Watson Laboratories Inc,,,Phase 3
D0C4DZ,,ZARS Pharma,,,Phase 3
D0C4FA,,Baxter 1nternational,,,Phase 3
D0C4VN,,The Center of Molecular Immunology,,,Phase 3
D0C6ND,,Alkermes,,,Phase 3
D0C6XR,,Wyeth,,,Phase 3
D0C6ZX,,Kyowa Hakko Kogyo Co Ltd,,,Phase 3
D0C9LQ,,Bluebird bio,,,Phase 3
D0CF8T,,Zeria Pharmaceutical Co Ltd,,,Phase 3
D0CG0N,,Progenics Pharmaceuticals Inc,,,Phase 3
D0CH6B,,"AZTherapies Boston, MA",,,Phase 3
D0CR9L,,"Philogen Sovicille, Italy",,,Phase 3
D0CW2B,,"ETX Pharma, Oakland, MD",,,Phase 3
D0CZ5Z,,Shire plc,,,Phase 3
D0D0HB,,Northwest Biotherapeutics,,,Phase 3
D0D0QQ,,Stiefel Laboratories,,,Phase 3
D0D0RW,,Chinese Academy of Medical Science,,,Phase 3
D0D1UD,,Sorrento Therapeutics Inc,,,Phase 3
D0D2TT,,"Teva Pharmaceuticals North Wales, PA",,,Phase 3
D0D4OS,,ViroMed,,,Phase 3
D0D5AV,,Xiamen Innovax Biotech Co Ltd,,,Phase 3
D0D5IS,,Alberta Research Council,,,Phase 3
D0D5NZ,,CSL Ltd,,,Phase 3
D0D7GS,,Athersys,,,Phase 3
D0D7KU,,"Sienna Biopharmaceuticals Westlake Village, CA",,,Phase 3
D0D8QV,,"Axsome Therapeutics New York, NY",,,Phase 3
D0D8RT,,Allergy Therapeutics,,,Phase 3
D0D9HZ,,Pfizer,,,Phase 3
D0DA3T,,Northwest BioTherapeutics,,,Phase 3
D0DD9F,,Akzo Nobel NV,,,Phase 3
D0DP9O,,"Histogenics Waltham, MA",,,Phase 3
D0DR4W,,Bioheart,,,Phase 3
D0DU9I,,"Renova Therapeutics San Diego, CA",,,Phase 3
D0DV3T,,Hospira,,,Phase 3
D0E0XL,,Novartis,,,Phase 3
D0E2YL,,Uni-Bio Science Group Limited,,,Phase 3
D0E4PQ,,Innocell Corp,,,Phase 3
D0E5VO,,GlaxoSmithKline; Theravance,,,Phase 3
D0E6ES,,Eunice Kennedy Shriver National Institutes of Child Health and Human Development,,,Phase 3
D0E6UU,,Ahn-Gook Pharmaceuticals Co Ltd,,,Phase 3
D0E6XN,,Torii Pharmaceutical Co Ltd,,,Phase 3
D0E7OC,,Autism therapeutics,,,Phase 3
D0E8NJ,,"AmgenThousand Oaks, CA",,,Phase 3
D0E9AF,,Alnylam pharmaceuticals,,,Phase 3
D0E9NU,,Kyowa Hakko Kirin Co Ltd,,,Phase 3
D0EF2H,,"Foresee Pharmaceuticals Newark, DE",,,Phase 3
D0EH2Q,,Pfizer,,,Phase 3
D0EO5G,,"Alkermes Waltham, MA",,,Phase 3
D0EQ5W,,INSERM,,,Phase 3
D0ET9N,,Warner Chilcott plc,,,Phase 3
D0F4IM,,"Seattle Genetics Bothell, WA",,,Phase 3
D0F7YW,,Mologen Holding AG,,,Phase 3
D0F8VM,,Glaxosmithkline; jn-lnternational medical,,,Phase 3
D0FJ1W,,Daiichi Sankyo,,,Phase 3
D0FL0R,,Angiolab Inc,,,Phase 3
D0FM5M,,Idera Pharmaceuticals,,,Phase 3
D0FP5B,,Merck,,,Phase 3
D0G2ZX,,"Cardiome Pharma Vancouver, Canada",,,Phase 3
D0G3OI,,ALK-Abello; Merck,,,Phase 3
D0G4BF,,LG Life Sciences Ltd,,,Phase 3
D0G6DF,,Hutchison Medipharma Enterprises Ltd,,,Phase 3
D0G6RB,,INSYS Therapeutics,,,Phase 3
D0G6ZS,,LG Life Sciences Ltd,,,Phase 3
D0G7IV,,Bristol-Myers Squibb,,,Phase 3
D0G8NK,,AstraZeneca,,,Phase 3
D0G8UL,,Cardium Therapeutics,,,Phase 3
D0GP8N,,Merck,,,Phase 3
D0GW1P,,Sanofi Pasteur,,,Phase 3
D0GW6K,,Aerial BioPharma,,,Phase 3
D0GY4H,,Ark Therapeutics,,,Phase 3
D0H1FN,,Avicena,,,Phase 3
D0H1PK,,Bavarian Nordic A/S,,,Phase 3
D0H1TL,,Abbott; Astra Zeneca,,,Phase 3
D0H1UW,,Novo Nordisk,,,Phase 3
D0H2AP,,Edgemont Pharmaceuticals LLC,,,Phase 3
D0H3NN,,ISTO Technologies,,,Phase 3
D0H4YL,,"SeqirusCambridge, MA",,,Phase 3
D0H6BS,,"Novartis OncologyEast Hanover, NJ",,,Phase 3
D0H8MH,,Prolor biotech; chiasma,,,Phase 3
D0H9PT,,Roche,,,Phase 3
D0H9QC,,Shionogi,,,Phase 3
D0HB0V,,Jennerex Biotherapeutics,,,Phase 3
D0HK3X,,Astion Pharma A/S,,,Phase 3
D0HL1X,,,,Antisense drug,Phase 3
D0HR7Z,,Pfizer,,,Phase 3
D0I1KL,,FirstString Research Inc,,,Phase 3
D0I2KE,,"Merck Kenilworth, NJ",,,Phase 3
D0I3NA,,Octapharma usa,,,Phase 3
D0I4XF,,Altacor,,,Phase 3
D0I5EU,,Exelixis; Roche,,,Phase 3
D0I5RR,,Merck & Co Inc,,,Phase 3
D0I5WJ,,"Anthera Pharmaceuticals Hayward, CA",,,Phase 3
D0I6OI,,Abbott; Roche,,,Phase 3
D0I6PP,,Sanofi,,,Phase 3
D0I6UE,,"MabtechShanghai, China Sorrento Therapeutics San Diego, CA",,,Phase 3
D0IA0N,,"Neurelis Pharmaceuticals San Diego, CA",,,Phase 3
D0IC7A,,Ardana Bioscience,,,Phase 3
D0IM6O,,Agennix AG,,,Phase 3
D0J0GR,,"Argos Therapeutics Durham, NC",,,Phase 3
D0J1ZH,,"Pherin Pharmaceuticals Los Altos, CA",,,Phase 3
D0J3ZT,,Proteon Therapeutics,,,Phase 3
D0J4IT,,Circassia Ltd,,,Phase 3
D0J6PY,,Bristol-Myers Squibb,,,Phase 3
D0J7CH,,Novartis pharmaceuticals,,,Phase 3
D0J9HO,,GILEAD,,,Phase 3
D0J9VL,,"MC2 Therapeutics Copenhagen, Denmark",,,Phase 3
D0K1XV,,"United Therapeutics Silver Spring, MD",,,Phase 3
D0K4GW,,"Innocoll Newtown Square, PA",,,Phase 3
D0K5ET,,"Zosano Pharma Fremont, CA",,,Phase 3
D0K6AL,,"PharmaMar USA New York, NY",,,Phase 3
D0K6PP,,Ahn-Gook Pharmaceuticals Co Ltd,,,Phase 3
D0K9FA,,"ViiV Healthcare Research Triangle Park, NC",,,Phase 3
D0K9IB,,"Proteon Therapeutics Waltham, MA",,,Phase 3
D0KN2C,,Diasome Pharmaceuticals,,,Phase 3
D0KV1Q,,Johnson & Johnson Licensee; Kaken Pharmaceutical,,,Phase 3
D0L1DR,,Green Cross Corp,,,Phase 3
D0L1LV,,Fabre Kramer Pharmaceuticals Inc,,,Phase 3
D0L3SP,,"Bavarian NordicMorrisville, NCJanssen Vaccines and Prevention Leiden, Netherlands",,,Phase 3
D0L3UI,,Sanofi pasteur,,,Phase 3
D0L3VU,,Britannia Pharmaceuticals Ltd,,,Phase 3
D0L5WF,,"Versartis, Menlo Park, CA",,,Phase 3
D0L6BH,,Novo Nordisk,,,Phase 3
D0L8PH,,Dr Rentschler Biotechnologie GmbH,,,Phase 3
D0L9HG,,Bharat Biotech,,,Phase 3
D0LA6Z,,"Lung Biotechnology Silver Spring, MD",,,Phase 3
D0LB3Z,,Novartis pharmaceuticals,,,Phase 3
D0LC3C,,"Aradigm Hayward, CA",,,Phase 3
D0LF1E,,"Aquestive Therapeutics Warren, NJ",,,Phase 3
D0LF8Z,,"Ferring Pharmaceuticals Saint-Prex, Switzerland",,,Phase 3
D0LG3Q,,"Pluristem Therapeutics Haifa, Israel",,,Phase 3
D0LR1W,,"Medicago Durham, NC",,,Phase 3
D0LX9H,,"United Therapeutics Silver Spring, MD",,,Phase 3
D0M1WU,,Ajinomoto Co Inc,,,Phase 3
D0M2EG,,"Eli Lilly Indianapolis, IN",,,Phase 3
D0M2GQ,,Dynavax Technologies,,,Phase 3
D0M2IS,,Center for Genetic Engineering and Biotechnology,,,Phase 3
D0M3BB,,Nexell Therapeutics Inc,,,Phase 3
D0M4TF,,John Wayne Cancer Institute,,,Phase 3
D0M6HE,,GlaxoSmithKline,,,Phase 3
D0M7HZ,,Biogen Idec; ISIS pharmaceuticals,,,Phase 3
D0M9OO,,"Sellas Life Sciences New York, NY",,,Phase 3
D0ML8G,,Novo Nordisk,,,Phase 3
D0N1YF,,AnGes; Daiichi,,,Phase 3
D0N1YG,,Macrocure,,,Phase 3
D0N3ZN,,Medlmmune LLC,,,Phase 3
D0N5GV,,"Bristol-Myers Squib Princeton, NJ",,,Phase 3
D0N6IY,,Targazyme,,,Phase 3
D0N8IL,,Pfizer,,,Phase 3
D0NA8B,,"Clovis Oncology Boulder, CO",,,Phase 3
D0NC9E,,"Soligenix, Princeton, NJ",,,Phase 3
D0NE8F,,"EryDel Urbino, Italy",,,Phase 3
D0NH3R,,"Astex Pharmaceuticals Pleasanton, CA",,,Phase 3
D0NI9X,,California Stem Cells,,,Phase 3
D0NN7Q,,Healthpoint biotherapeutics,,,Phase 3
D0NO0K,,Redbiotec AG,,,Phase 3
D0O0HU,,Almirall Prodesfarma SA,,,Phase 3
D0O1EH,,"KemPharmaCelebration, FL",,,Phase 3
D0O1UT,,Intercytex Ltd,,,Phase 3
D0O1UX,,Dbv technologies,,,Phase 3
D0O2NQ,,Pfizer,,,Phase 3
D0O3EX,,"Liquidia Technologies  Morrisville, NC",,,Phase 3
D0O5KY,,Zensun,,,Phase 3
D0O5TR,,Reckitt benckiser pharmaceutical,,,Phase 3
D0O5XQ,,Alcon,,,Phase 3
D0O6BW,,Chiron,,,Phase 3
D0O7GB,,"Spark Therapeutics Philadelphia, PA",,,Phase 3
D0O9DK,,Pfizer,,,Phase 3
D0O9UN,,Sanofi,,,Phase 3
D0O9UZ,,Nuvelo,,,Phase 3
D0O9XO,,Chengdu Kanghong Biotechnologies Co Ltd,,,Phase 3
D0OD3T,,Sanofi Pasteur,,,Phase 3
D0OF1R,,"Eleven Biotherapeutics Cambridge, MA",,,Phase 3
D0OG1V,,Medarex,,,Phase 3
D0OH5E,,Medipost Co Ltd,,,Phase 3
D0OQ9V,,Biomarin pharmaceutical,,,Phase 3
D0OT1Q,,"Advaxis, Princeton, NJ",,,Phase 3
D0OW2S,,Amgen Thousand,,,Phase 3
D0OZ6W,,"Stallergenes Greer London, United Kingdom",,,Phase 3
D0P0FQ,,Glaxosmithkline,,,Phase 3
D0P2RO,,Sanofi-aventis,,,Phase 3
D0P4XW,,"Janssen Biotech Titusville, NJ",,,Phase 3
D0P5DZ,,"Merck Kenilworth, NJ",,,Phase 3
D0P9UP,,Biotest pharmaceuticals,,,Phase 3
D0P9YQ,,"Renovo, UK (Shire, UK)",,,Phase 3
D0PE2L,,GlaxoSmithKline; Prosensa,,,Phase 3
D0PM0Y,,"Taiho Oncology Princeton, NJ",,,Phase 3
D0Q0LI,,"Seres Health, Cambridge, MA",,,Phase 3
D0Q1VD,,"Novan Morrisville, NC",,,Phase 3
D0Q3WB,,BIKEN,,,Phase 3
D0Q9TB,,Macrocure,,,Phase 3
D0QL4X,,Celtic Pharma,,,Phase 3
D0QM1T,,Shin Poong Pharmaceutical Co Ltd,,,Phase 3
D0QP9A,,Kuhnil Pharmaceutical Co Ltd,,,Phase 3
D0QR4F,,"Santen, Emeryville, CA",,,Phase 3
D0QU0H,,"Omeros, Seattle, WA",,,Phase 3
D0QU8I,,"Pfizer New York, NY",,,Phase 3
D0R2NE,,Orion; Novartis,,,Phase 3
D0R3ML,,Population Council,,,Phase 3
D0R7UL,,"MedDay Pharmaceuticals Paris, France",,,Phase 3
D0R8FL,,"Egalet Wayne, PA",,,Phase 3
D0R8LQ,,"Aquestive Therapeutics Warren, NJ",,,Phase 3
D0R8QX,,Bio3 Research Srl,,,Phase 3
D0RA5E,,"Merck Kenilworth, NJ, Pfizer New York, NY",,,Phase 3
D0RL5B,,Marco Polo Pharmaceuticals SA,,,Phase 3
D0RM2O,,Eunice Kennedy Shriver National Institutes of Child Health and Human Development,,,Phase 3
D0RQ5Z,,"Sanofi Pasteur Swiftwater, PA",,,Phase 3
D0RR2E,,"Valeant Pharmaceuticals Bridgewater, NJ",,,Phase 3
D0S0HA,,Wiley-Liss; Keryx Biopharmaceuticals,,,Phase 3
D0S0LD,,Biological E Ltd,,,Phase 3
D0S1KP,,Pearl Therapeutics,,,Phase 3
D0S1QY,,Takeda,,,Phase 3
D0S2BU,,Radius Health Inc,,,Phase 3
D0S3BK,,"Gen Sight Biologics Paris, France",,,Phase 3
D0S3EM,,AstraZeneca,,,Phase 3
D0S3QH,,"Intec Pharma Jerusalem, Israel",,,Phase 3
D0S4FQ,,"Gan & Lee PharmaceuticalsBeijing, China",,,Phase 3
D0S4LV,,VBL Therapeutics,,,Phase 3
D0S4RK,,Biogen idec,,,Phase 3
D0S5FF,,Novartis,,,Phase 3
D0S6HR,,Kuhnil Pharmaceutical Co Ltd,,,Phase 3
D0S6OH,,Ambrx Inc,,,Phase 3
D0S7JN,,"Sandoz Princeton, NJ",,,Phase 3
D0S7KQ,,Affymax Inc; Takeda Pharmaceutical Co Ltd.,,,Phase 3
D0SB8X,,Protein sciences,,,Phase 3
D0SQ2Z,,"Medinol Tel Aviv, Israel",,,Phase 3
D0SS1J,,Sanofi,,,Phase 3
D0T0JF,,Immunsystem IMS AB,,,Phase 3
D0T0YG,,"CTI BioPharma Seattle, WA",,,Phase 3
D0T1VK,,CJ Corp,,,Phase 3
D0T2MS,,Zogenix,,,Phase 3
D0T3JF,,Advantagene,,,Phase 3
D0T4GZ,,Ribi ImmunoChem Research Inc,,,Phase 3
D0T5VD,,Evoke Pharma,,,Phase 3
D0T6IN,,Bristol-myers squibb,,,Phase 3
D0T7MN,,Zydus-Cadila Group,,,Phase 3
D0T8LF,,Curalogic,,,Phase 3
D0T9DA,,Molmed,,,Phase 3
D0T9FD,,SK Life Science,,,Phase 3
D0T9GM,,"NovavaxGaithersburg, MD",,,Phase 3
D0T9LR,,Lilly,,,Phase 3
D0TC4R,,Lundbeck Research,,,Phase 3
D0TY3L,,"Athenex Buffalo, NY",,,Phase 3
D0TY5K,,NextWave Pharmaceuticals Inc,,,Phase 3
D0U0HX,,GeneScience Pharmaceuticals Co Ltd,,,Phase 3
D0U1LQ,,Sanofi pasteur,,,Phase 3
D0U5GZ,,SciClone Pharmaceuticals,,,Phase 3
D0U7AH,,"Brainstorm Cell Therapeutics Hackensack, NJ",,,Phase 3
D0U8CR,,Servier,,,Phase 3
D0U8YK,,Novo Nordisk,,,Phase 3
D0U8ZD,,Optimer Biotechnology,,,Phase 3
D0UE8P,,Biomay AG,,,Phase 3
D0UH7R,,"GenentechSouth San Francisco, CA",,,Phase 3
D0UI3Z,,Hualan Biological Engineering Inc,,,Phase 3
D0UK2N,,Avicena Group Inc,,,Phase 3
D0UK2Z,,Agenus,,,Phase 3
D0UL0R,,Bukwang Pharmaceutical Co Ltd,,,Phase 3
D0UQ5B,,Glaxosmithkline,,,Phase 3
D0UU4B,,"Cutanea Wayne, PA",,,Phase 3
D0V0AF,,"Polynoma, San Diego, CA",,,Phase 3
D0V0KJ,,Mitsubishi Tanabe,,,Phase 3
D0V1FF,,Allon Therapeutics Inc,,,Phase 3
D0V1FP,,"RedHill Biopharma Tel-Aviv, Israel",,,Phase 3
D0V2OL,,Novo Nordisk,,,Phase 3
D0V3LF,,"Cytori Therapeutics San Diego, CA",,,Phase 3
D0V3WE,,CJ Corp,,,Phase 3
D0V3ZN,,Ahn-Gook Pharmaceuticals Co Ltd,,,Phase 3
D0V6EC,,Ikaria,,,Phase 3
D0V6IM,,Biotec Pharmacon,,,Phase 3
D0V6SV,,ViroMed Co Ltd,,,Phase 3
