disease_name,icd11_code
Diagnostic fluorescein angiography or angioscopy of vasculature,BA00-BE2Z
Chronic idiopathic constipation,DC32
Zinc deficiency,5B5K.2
Premature labour,JB00
Joint lubricant,FA30-FA38
Enthesopathy,FB53-FB55
Pancytopenia,3A70.Z
Miosis,LA11.62
Vitamin C deficiency,5B56
Aspergillosis,1F20
Thyroid disease,5A00-5A06
Dermatophytosis,1F28.2
Non-erosive gastro-esophageal reflux disease,DA22.0
Erosive esophagitis,DA25.0
NSAID-associated gastric ulcer,DA60
Microorganisms infection,1A00-1A09
Headache,8A80-8A84
Male hormonal deficiency,5A81
Central and peripheral nervous disease,8A04-8E7Z
Bupicavaine toxicity,NE6Z
Lymphatic filariasis,1F66.3
Escherichia coli infection,1A03
Achondroplasia,LD24.00
Vitamin B1 deficiency,5B5A
Skin cancer,2C30-2C37
Non-insulin dependent diabetes,5A11
Female hypogonadism,GA30.6
Inflammatory skin condition,EF20.Y
Clostridium difficile associated diarrhea,1A04
Contrast medium for intravenous urography,GC2Z
Hypoparathyroidism,5A50
Skin disease,EA00-EM0Z
Paroxysmal supraventricular tachycardia,BC81.Z
Vomiting,MD90
Chronic diarrhoea,1A36.0Z
Sleep-wake disorder,7A00-7B2Z
Hunter syndrome,5C56.31
Appetite suppressant,MG43
Tripeptidyl peptidase 1 deficiency,5C50
Neuronal ceroid lipofuscinosis,5C56.1
Acquired haemolytic anemia,3A4Z
Seasonal allergic rhinitis,CA08.01
Reticular veins,EF20
Spider veins,EF20
Rhinitis,FA20
Genetic disease,8E02
Stabilize muscle contraction,FB3Z
Lipoprotein disorder,5C80-5C8Z
Lupus,4A40
Rheumatic fever,1B40-1B42
Seborrhea,ED91.2
Acute liver failure,DB91
Alcoholic cirrhosis of liver,DB94
Excessive bleeding,GA30.02
Relapsing-remitting multiple sclerosis,8A40.0
Gastric disease,DA40-DA7Z
Pelvic inflammatory disease,GA05
Abdominal surgical procedure,N.A.
Tuberculosis,1B10-1B14
Disorder of calcium metabolism,5C64.5
Onchocerciasis,1F6A
River blindness,1F6A.0
Spontaneous abortion,JA00.0
Knee osteoarthritis,FA01
Erythema,ME64.0
Manic depression disorder,6A71
Hyperlipidemia,5C80.Z
Contrast imaging,N.A.
Hypothalamic hypogonadism,5A61.2
Gonococcal urethritis,1A70.0Y
Intestinal amebiasis,1A36
bronchial hyperreactivity,CB40
Metastatic malignant neoplasm,2D50-2E09
Sweetener,N.A.
High-risk myelofibrosis,2A20.2
Leptospira infection,1B91
Lymphatic disease,BD9Z
Brain metastases,2D50
Resorption of radiopaque agents,N.A.
Hereditary hemorrhagic telangiectasia,LA90.00
Throat irritation,CA0Y
Magnetic resonance imaging of liver,ME21
Pediatric growth disorder,FB86
Subarachnoid hemorrhage,8B01
Cholelithiasis,DC11
Acidosis,5C73
Weight loss,MG43.5
Acute supraventricular tachycardia,BC81
Alkalosis,5C74
Pleural disease,CB27
Melasma,ED60.1
Bronchial asthma,CA23
Ophthalmic surgery injury,PK97
Venom poisoning,NE61
T-cell lymphoma,2A90
Renal transplantation,NE84
Castleman's disease,4B2Y
Methamphetamine dependence,6C46.2
Skin photodamage,EJ40
Otitis externa,AA00-AA13
Acute otitis media,AB00
Hypogonadism,5A61.0
Skin allergy,4A82
Paroxysmal atrial fibrillation,BC81.30
Syphilis infection,1A6Z
Monkeypox virus infection,1E71
Vitamin K deficiency,5B59
Refractory chronic myeloid leukaemia,2A20
Pancreatic malfunction,DC30-DC3Z
Basal cell carcinoma,2C32
Primitive neuroectodermal tumour medulloblastoma,2A00.11
Expectorant,MD10
Ventricular fibrillation,BC71.1
Obsessive compulsive disorder,6B20
Neonatal respiratory distress,CB04.2
Amyloidosis,5D00
Amyloid cardiomyopathy,5D00.20
Thyrotoxicosis,5A02
Alopecia areata,ED70.2
Infection of the upper and lower urinary tract,GC08
Uremic pruritus,EC90.10
Blastomycosis,1F22
Rett syndrome,LD90.4
Fragile X syndrome,LD55
Traumatic brain injury,NA07.Z
Acute bronchial asthma,CA23
Recurring respiratory infection,CA07-CA45
Jock itch,1F28.3
Athylene glycol or methanol poisoning,NE61
Thiamine deficiency,5B5A
Wernicke-Korsakoff Syndrome,5B5A.1
Neurotrophic keratitis,9A74
Inborn homocystinuria,5C50
Arthropathy,FA11-FA38
Bone related disease,FB82-FB85
Chronic idiopathic urticaria,EB00.1
Metabolic acidosis,5C73
Conjunctivitis,9A60
Monitored anaesthesia care,N.A.
Grass pollen hypersensitivity,4B07
Mycoses,1F2Z
Hemorrhage,MG27
Bile duct disease,LB20
Acute promyelocytic leukaemia,2A60.0
Dyspareunia,GA12
Postmenopausal vaginal atrophy,GA30.2
Ocular pain,MC18
Intrahepatic cholangiocarcinoma,2C12.10
Ascariasis,1F62
Enterobiasis,1F65
Pulmonary and extrapulmonary tuberculosis,1B10.Z
Adenosine deaminase defciency,4A01.1
Age-related macular degeneration,9B75.0
Diabetic cataract,9B10.21
Vaccination,N.A.
Nervous system paraneoplastic or autoimmune disorders,8E4A.1
Gastric secretory disorder,DD90
Prurigo nodularis,EC91.0
Rectal adenocarcinoma,2B92
Dermal necrosis,MC85
Drug abuse,6C4G.1Z
Short bowel syndrome,KB89.1
Circulatory disorder,BE2Z
Measure kidney function,MG02
Hormone receptor positive and HER2-negative advanced or metastatic breast cancer,2C60-2C65
Meniere disease,AB31.0
Iron deficiency,5B5K.0
Bradycardia,MC81.1
Ear disease,AA0Y-AC0Z
Menopausal and postmenopausal disorder,GA30
Gastro-oesophageal reflux,DA22
Functional dyspepsia,DD90.3
Status epilepticus seizure,8A66.1Y
Radiographic contrast medium,N.A.
Ocular inflammation,9C61.24
Intractable insomnia,7A00
Ovulation dysfunction,5A80
Toxicity,N.A.
Lleum inflammation,1A40.0
Histoplasma infection,1F2A.Z
Psychomotor agitation,MB23.M
Long-chain fatty acid oxidation disorder,BC43.10
Genetic epileptic syndromes with variable age of onset,8A61.4Y
Urolithiasis,GB7Z
Desmoid tumour,2F7C
Vasomotor/allergic rhinitis,CA08
Leishmaniasis,1F54
Visceral leishmaniasis,1F54.0
Brain and central nervous system tumour,2A00.11
Malignant rhabdoid tumour,2A00.1Y
Synovial sarcoma,2B5A
Oral cancer,2B6E
Meningitis,1D01
Influenza A virus H5N1 infection,1E30
Peripheral neuropathy,8C0Z
Restless legs syndrome,7A80
Insulin-resistant disorder,5A44
Pyruvate dehydrogenase complex deficiency,5C53.02
Pulmonary fibrosis,CB03.4
Tourette syndrome,8A05.00
Motor neurone disease,8B60
Coronary heart disease,BA80.Z
Influenza A virus H1N1/H5N1 infection,1E30
Premature ejaculation,HA03.0Z
Eye disorder,9A01-9A0Z
Pancreatic tumour,2C10
Acute heart failure,BD10-BD13
Scapulohumeral periarthritis,FB53
Myalgia,FB56.2
Aggressive cancer,2A00-2F9Z
Clotting disorder,3B4Z
Non-alcoholic steatohepatitis,DB92.1
Generalized pustular psoriasis,EA90.40
Alexander disease,8A44.2
Post-transplant lymphoproliferative disorder,2B32
Nasopharyngeal carcinoma,2B6B
Wiskott-Aldrich syndrome,3B62.0
Arginase 1 deficiency,5C50.A2
uveitic macular edema,9B78
Choroideremia,9B61
Frontotemporal dementia,6D83
Chronic myocardial ischemia,BA6Z
X-linked retinitis pigmentosa,9B70
Glioblastoma of brain,2A00.00
Hemorrhagic cystitis,GC00.1
Distal renal tubular acidosis,GB90.44
Thrombotic microangiopathy,3B65
Necrotizing enterocolitis of newborn,KB88
Warm autoimmune hemolytic anemia,3A20.0
Chronic inflammatory demyelinating polyneuropathy,8C01.3
Autoimmune haemolytic anaemia,3A20
Idiopathic inflammatory myopathy,4A41
Al amyloidosis,5D00.0
Hypereosinophilic syndrome,2A20.3
chronic rhinosinusitis with nasal polyps,CA0A
Non-muscle invasive bladder cancer,2C94
Pneumonia,CA40
Pneumococcal infection,CA00-CA40
Pulmonary sarcoidosis,4B20.0
Cutaneous lupus erythematosus,EB5Z
Geographic retinal atrophy,9B78.9
Dilated cardiomyopathy,BC43.0
Autosomal dominant hypocalcemia,5A50.0Y
Angelman syndrome,LD90.0
Head-neck squamous cell carcinoma,2D60.0
Thymidine kinase 2 deficiency,5C55.1
Intervertebral disc degeneration,FA80
Liposarcoma,2B59
Skin and skin-structure infection,1F28-1G0Z
Uveal Melanoma,2D0Y
XIAP deficiency,4A01.22
Pediatric glioma,2A00.0
Malignant glioma,2A00.0
Mumps virus infection,1D80
Rubella prophylaxis,1F02
Calciphylaxis,EB90.42
Calcific uremic arteriolopathy,EB90.42
Bullous pemphigoid,EB41.0
Menkes disease,5C64.0
Stargardt disease,9B70
Cerebral X-linked adrenoleukodystrophy,5C57.1
Primary sclerosing cholangitis,DB96.2
Chikungunya virus infection,1D40
Necrotizing soft tissue infection,1B71
Muscle injury,NC16.3
Erythropoietic protoporphyria,5C58.12
Liver cirrhosis,DB93.1
CLN3 Batten disease,5C56
Ornithine transcarbamylase deficiency,5C50.AY
Hypertrophic cardiomyopathy,BC43.1
Congenital thrombotic thrombocytopenic purpura,3B64.14
Limb-girdle muscular dystrophy,8C70.4
Transthyretin amyloid cardiomyopathy,5D00.20
Delayed graft function,4B24.0
IgG4 related disease,4A43.0
Esophagogastric junction neoplasm,2B71
Severe combined immunodeficiency,4A01.10
Oral cavity squamous cell carcinoma,2B6E.0
Herpes zoster,1E91
Eosinophilic esophagitis,DA24.1
Haemolytic uraemic syndrome,3A21.2
Bacteremia,1A73
Chronic plaque psoriasis,EA90.0
Sjogren-Larsson syndrome,5C52.03
Acute myelogenous leukaemia,2A41
Advanced malignancy,2A00-2F9Z
Neurobehavioral disorder,8A00-8A0Z
Dengue fever,1D2Z
Acute respiratory failure,CB41.0
Cocaine addiction,6C45.2
Muscle disease,FB3Z
Neuromyelitis optica,8A43
Morton neuroma,8C11.6
Cerebral edema,8D60.1
Familial amyloid polyneuropathy,5D00.20
Nephritis,GB40
Ehlers-Danlos syndrome,LD28.1
Ovarian epithelial cancer,2C73
Anaplastic glioma,2A00.0
Advanced solid tumour,2A00-2F9Z
Phlegmy cough,SA80-SA8Z
Primary axillary hyperhidrosis,EE00.01
Arthralgia,ME82
Middle East Respiratory Syndrome (MERS),1D64
Severe acute respiratory syndrome (SARS),1D65
Gynecologic cancer,2F33-2F76
Hematologic tumour,2B33.Y
Charcot marie tooth disease,8C21.Z
Uterine fibroids,2E86.0
Giant cell arteritis,4A44.2
Gastroparesis,DA41.00
Diabetic gastroparesis,DA41.00
Cachexia,MG20
Autoimmune pulmonary alveolar proteinosis,CB04.31
Endotoxic shock,1G41
Pre-sarcopenia,FB32.Y
Gastrointestinal ulcer,DA60.Z
Inclusion body myositis,4A41.2
Muscle atrophy,FB32.Y
Serious infection,1H0Z
Leber hereditary optic neuropathy,8C73.Y
Sarcoma,2A60-2C35
Focal dystonia,8A02.1
Shigella infection,1A02
Acute repetitive seizure,8A67
Atypical hemolytic uremic syndrome,3A10.Y
Glomerulonephritis,5D00.Y
Epithelial ovarian cancer,2B5D
Late-stage acute myeloid leukaemia,2A60
Lung infection,CA4Z
Anal cancer,2C00
Morquio syndrome,5C56.32
Cluster headache,8A81.0
Retinitis pigmentosa,9B70
Flavivirus infection,1C80
Whim syndrome,4A00.Y
Post-traumatic stress disorder,6B40
Critical limb ischemia,BD4Y
Metastatic gastric or gastroesophageal junction cancer,2D8Y
Genital herpes,1A94
Hereditary spinocerebellar ataxia,8A03.1
Pancreatic islet transplantation failure,NE84
Ischemia-reperfusion injury,DB98.B
Graft rejection in heart transplantation,NE84
lung transplantation,PK80.20
Promyelocytic leukaemia,2A82.1
Acute and chronic heart failure,BD1Z
Metastatic liver cancer,2C12
Periodontitis,DA0C
Myelofibrosis,2A22
Argininosuccinate synthase deficiency,5C50.A3
Mental disease,6E8Z
Chronic low back pain,MG30.02
Vulvar intraepithelial neoplasia,2E67.10
Mixed connective tissue disease,4A43.3
Social anxiety disorder,6B04
Movement disorder,8A07-8A0Z
Ophthalmic infection,1F00.1
Sexually transmitted infection,1A9Z
Metabolic syndrome x,5C50-5D2Z
Vasospasm,9B74.0
Generalized anxiety disorder,6B00
Vascular restinosis,BE2Z
Metastatic breast cancer,2C6Y
Allergic asthma,CA23.0
Alveolar soft part sarcoma,2A60-2C35
Leiomyosarcoma,2B58
Peritoneal cavity cancer,2C51.Z
Anterior uveitis,9A96
Axial spondyloarthritis,FA92.0
Cardiac events,MC82
Adolescent meningitis,1D01.10
Cardiomyopathy,BC43
Radiation syndrome,NF00
Cartilage disorder,FA34
Advanced cancer,2A00-2F9Z
Ragweed hypersensitivity allergic disease,4A8Z
AIDS-related lymphoma,2B33.5
Renal artery disease,BD40.2
Leishmania infection,1F54.0
Enterovirus infection,1D91
Autoimmune disease,4A40-4A45
Ischemic heart disease,BA40-BA6Z
Long QT syndrome,BC65.0
Dyskinesia,MB47.4
Grade IV malignant glioma,2A00.0
Rickets,5B57
Aniridia,LA11.3
Pemphigoid,EB41
Hypopharyngeal squamous cell carcinoma,2B6D.0
Hidradenitis suppurativa,ED92.0
Squamous head and neck cell carcinom,2D60.0
Adenovirus infection,1A20
Acute kidney injury,GB60
Diffuse systemic sclerosis,4A42.1
Vitamin E deficiency,5B58
Pertussis,1C12.Z
Candidemia,1F23.3Y
Mitochondrial myopathy,8C73
Aneurysmal subarachnoid hemorrhage,8B01.0
Angioimmunoblastic T-cell Lymphoma,2A90.9
Azoospermia,GB04.0
Recurrent adult burkitt lymphoma,2A85.6
Choroidal neovascularization,9B76
Familial adenomatous polyposis,2B90.Y
Ischemic optic neuropathy,9C40.4
Non-arteritic anterior ischemic optic neuropathy,9C40.40
Atrophy,9A2Y-9C40
Testicular germ cell tumour,2C80.2
Dental caries,DA08.0
Relapsed or refractory chronic lymphocytic leukaemia,2A82.0
Diuretic vasodilator,BA00
Pediatric attention deficit hyperactivity disorder,6A05
Type 2 glycogen storage disease,5C51.3
Sciatica/lumbar radicular pain,ME84.3
Blood forming organ disorder,JB64.1
Lysosomal storage disease,5C56.Z
Preterm labour,JB00
Primary insomnia,7A00
Exocrine pancreatic insufficiency,DC35.1
Liver metastasis,2D80
Premenstrual syndrome,GA34.40
Hereditary inclusion body myositis,4A41.2
Myopathy,8C7Y
Carbohydrate metabolism disorder,5C51.Z
Burn and burn infection,ND90-NE2Z
Idiopathic multicentric Castlemans disease,2A81.Y
Malignant carcinoid syndrome,5B10
Bone development disorder,FB86
Pustular palmoplantar psoriasis,EA90
Diabetic kidney disease,GB61.Z
Lateral sclerosis,8B61
Peripheral sensory neuropathies,LD27.3
Hirsutism,ED72
Perianal fistula,DB50.1
Vaginal disease,GA1Y
Diarrhea,DA90
Niemann-pick disease,5C56.0Y
Neurodegenerative disorder,8A20-8A23
Keloidal surgical scar,EL50.0
Myeloproliferative neoplasm,2A20
Myelodysplastic neoplasm,2A60
Common wart,1E80
Nosocomial infection,PL10
Herniation disk,ND51.2
Angiosarcoma,2B56
Hemangiosarcoma,2B56.1
Gestational trophoblastic neoplasia,2F33-2F76
Adrenoleukodystrophy,8A44.1
Cervical Intraepithelial neoplasia,2E66.1
Dysplasia,LB30-LD2F
Vulvar squamous intraepithelial lesion,2E66.1
Ewing sarcoma,2B52
Hyperphagia,MG43.9
Mucopolysaccharidosis II,5C56.31
Leber congenital amaurosis,9B70
Acute pyelonephritis,GB51
Heart failure with preserved ejection fraction,BD11.0
Glioblastoma,2A00
Ligneous conjunctivitis,9A02.2
Joint infection,FA10
Heart injury,NB31
Acute decompensated heart failure,BD1Z
Panic disorder,6B01
Eclampsia,JA25
Proliferative diabetic retinopathy,9B71.01
Perennial allergic rhinitis,CA08.03
Myotonic dystrophy,8C71.0
Macular telangiectasia type 2,9B75.3
Cerebral ischemia,8B11
Small round cell desmoplastic tumour,2A20.5
Enterococcus faecium infection,1D01.0Y
Pervasive developmental disorder,6A00-6A0Z
B-cell chronic lymphocytic leukaemia,2A82.00
Hepatic failure,DB99.7
Congenital plasminogen activator inhibitor type 1 deficiency,3B50.1
Hypoplasminogenemia,DA0D.3
Metastatic biliary tract neoplasms,2C14-2C17
Ileus,DA93.0
Pre-eclampsia,JA24
End-stage renal disease,GB61.5
Narcolepsy type 1,7A20.0
Narcolepsy type 2,7A20.1
Coronary microvascular disease,BA86
Psoriasis,EA90
Hemochromatosis,5C64.1Y
Chronic low-back pain,MG30
Acute adenoviral conjunctivitis,1D84.0
Aromatic L-amino acid decarboxylase deficiency,5C59.00
Influenza A virus H1N1 infection,1E30
Dercum disease,EF02.1
Methylmalonic acidemia,5C50.E0
Propionic acidemia,5C50.E0
Dermatomyositis,4A41.0
Discoid lupus erythematosus,EB51.0
Non-alcoholic fatty liver disease,DB92
Chronic lung disease,CA20.11
Elevated Lipoprotein(a),5C80.1
Gingivitis,DA0B
Traveler's diarrhea,ME05.1
Venous leg ulcer,BD74.3
Uterine serous carcinoma,2C72.1
Pressure ulcers,EH90
Autosomal Recessive Ichthyosis,ED20
Cryopyrin-associated periodic syndrome,4A60.1
Dengue,1D20-1D2Z
Renal fibrosis,GC01
Lymphatic malformation,LA90.1
Intermittent explosive disorder,6C73
Fear-related disorder,6B0Z
Urea cycle disorder,5C50.A
Respiratory infection,CA07-CA4Z
Peripheral Ischemic Ulcers,BD41
Marijuana use disorder,6C41
mumps,1D80
Varicella,1E90
rubella,1F02
Epileptic encephalopathy,8A62
Respiratory distress syndrome of newborn,KB23.0
Oesophagogastric junction cancer,2B71.Z
Polymyositis,4A41.1
Centronuclear myopathy,8C72.01
Fanconi's anemia,3A70.0
Acute respiratory distress syndrome,CB00
Clostridioides difficile infection,1A04
Plantar wart,1E80.1
Congenital hyperinsulinism,5A4Y
Food allergy,4A85.2
Immune thrombocytopenia,3B64
Cold agglutinin disease,3A20.1
Neurofibromatosis 1,LD2D.10
Hypertrophic scars,EE60
Intracranial embolism,8B22.1
Subcutaneous fat disorder,EF02
Postoperative pain,MG30-MG3Z
Heart failure with reduced ejection fraction,BD11.2
Pouchitis,N.A.
Acute ischemic stroke,8B11
Dry age-related macular degeneration,9B75
Oropharyngeal squamous cell carcinoma,2B6A.0
Large granular lymphocytic leukemia,2A90.1
Heparin-induced thrombocytopenia,3B64.12
Keloid,EE60
Non-eosinophilic asthma,CA23
Coeliac disease,DA95
ER-positive breast cancer,2C60-2C65
Primary ciliary dyskinesia,LA75.Y
Shigella diarrhea,1A02
Multiple system atrophy,8D87.0
facioscapulohumeral muscular dystrophy,8C70
Surgical site infection,NE81.2
Invasive pulmonary aspergillosis,1F20.0
Chronic cough,MD12
Cancer cachexia,MG20.0
Aspirin-induced asthma,CA23.20
Chordoma,5A61.0
Obstructive sleep apnea,7A41
Cardiac fibrosis,DB98.8
Snakebite,N.A.
Dystrophic epidermolysis bullosa,EC32
Methamphetamine use disorder,6C46
Acute cardiac ischemia,BA4Z
Steatohepatitis,DB92
genital warts,1A95
Primary immune thrombocytopenia,3B64.10
Influenza A virus H3N2 infection,1E30
Cerebral cavernous malformation,8B22.41
Progressive supranuclear palsy,8A00.10
Proliferative lupus nephritis,4A40
Melioidosis,1C42
Non-proliferative diabetic retinopathy,9B71.00
Myocardial ischemia,BA6Z
Pituitary adenoma,2F37.0
Vascular dementia,6D81
Peripheral arterial occlusive disorder,BD4Z
Pseudoxanthoma elasticum,EC40
Osteoarthritis pain,MG30.31
Trichotillomania,6B25.0
Sanfilippo syndrome,5C56.3Y
Astrocytoma,2A00.0Y
Insulin-dependent diabetes,5A10
Allergic contact dermatitis,EK00
Chronic post cancer treatment pain,8E43
Epstein barr virus infection,1C80
Medulloblastoma,2A00.10
Hypersomnia,7A21
Exacerbation of acute asthma,CA23.30
Aging skin,EE40
Hemorrhagic fever,1D61
Acute biphenotypic leukaemia,2B33.4
Metabolic bone disease,FB8Y
Xerostomia,DA02.1
Facial wrinkles,EJ9Y
Chronic suppurative otitis media,AA91
Intradialytic hypotension,BA20-BA21
Subacute cutaneous lupus erythematosus,EB50
Malignant perivascular epithelioid cell tumour,2B5Y
Yersinia infection,1B93
Spinal cerebellar ataxia type 3,8A03
Oculopharyngeal muscular dystrophy,9C82.1
Lung squamous cell carcinoma,2C25.2
Rhabdomyosarcoma,2B55
Peanut hypersensitivity,4A83
Syndrome X,5C53.4
Nontraumatic intracerebral hemorrhage,8B00.4
Skin fibrosis,EM0Z
Scar conditions,QB83
Frailty,MG2A
Cryptococcal meningitis infection,1D01.10
Stem cell engraftment,QB63.8
Interstitial lung disease,CB0Z
Leptomeningeal sarcoma,2A01.0
Labyrinthitis,AB30.1
Social phobia,6B04
Fibrolamellar liver cancer,2C12.02
Hemorrhagic shock,MG40.1
Lewy body dementia,6D82
Leigh syndrome,5C53.24
Pontocerebellar hypoplasia type 6,LD20.01
Bulimia nervosa,6B81
Retinopathy,9B71
Cutaneous wart,1E80
Metastatic melanoma,2E2Z
Thymic cancer,2C27
Hematopoietic stem cell transplantation,QB63
Adjuvant ovarian cancer,2C73
Atherosclerosis,BD40
Vaginal infection,GA02.0
Osteonecrosis,FB81
Hepatic metastasis,2D80
Trigeminal neuralgia,8B82.0
Lumbosacral radiculopathy,8B93.Y
Malignant uterine tumour,2C76.Z
T-cell acute lymphocytic leukaemia,2B33.4
Diabetic macular degeneration,9B78
Congenital ichthyosiform erythroderma,EC20.02
Choroidal dystrophy,9B61
Complex epidermal hamartoma,LC02
Mitochondrial respiratory chain disease,5C53.2
Raynaud disease,BD42.0
Hyperbilirubinemia,5C58
Left ventricular dysfunction,BD11
Occlusive disease,BD4Z
Schizoaffective disorder,6A21
Facial pain,MB6Y
Enterocolitis,1A40.Z
Cornea epithelial defect,9A78
Metastatic renal cancer,2D50
Refractory sickle cell ulcers,3A51
Nerve injury,ND56.4
Hepatovirus infection,1E51
Motion sickness,NF08.3
Pleomorphic sarcoma,2B54
Basal cell nevus syndrome,2C32
Chondrosarcoma,2B50
Prolymphocytic leukaemia,2A82.1
Haematopoietic/lymphoid cancer,2B33.5
Exudative age-related macular degeneration,9B78.3Z
Clear cell sarcoma,2A60-2C35
Skin metastasis,2D50
Rhinovirus infection,CA07
Dermal neurofibromatoses,LD2D
Lactose intolerance,5C61.6
Metastatic sarcoma,2D50-2E2Z
Hookworm infection,1F68
Norovirus infection,1A23
Allergic skin disorder,4A82
Oral herpes,1F00.02
Occlusive coronary artery disease,BA80
H5N1 influenza infection,1E30
Parvovirus infection,1D93
Palmar hyperhidrosis,EE00.00
Propagation of disease by mosquito,1C80-1D48
Diabetic angiopathy,BD53.Y
Immune dysregulation,4A01.2
Complete androgen insensitivity syndrome,LD2A.4
Metastatic non-hodgkin's lymphoma,2B33.5
Bone injury,ND56.Y
Streptococcal B infection,1G40
Hereditary acantholytic dermatoses,EC20.2
Advanced stage follicular lymphoma,2A80
Rift valley fever,1D44
Ductal carcinoma,2E65.2
Structural developmental anomalies of liver,LB20.0
Cerebral infarction,8B11.5Z
Malignant neoplasm,2A00-2F9Z
Squamous cell anal carcinoma,2C00.3
Suicidal ideation,MB26.A
Dwarfism,5B11
Implantation failure,QB50
Kidney failure,GB6Z
Paronychia,1F23.13
Euthyroid goiter,5A01.1
Plasmodium falciparum malaria,1F40
Phospholipid syndrome,4A45
Myocardial reperfusion injury,NB31
Chronic alcoholism,6C40.2Z
Proteus syndrome,LD2C
Lymphangioleiomyomatosis,CB07
Herpes simplex labialis,1F00.01
Meningioma metastases,2D51
Polycystic kidney disease,GB8Y
Urogenital cancer,2C95-2C9Z
Metastatic cancer,2D50-2E2Z
Aortic aneurysm,BD50
Tuberous sclerosis,LD2D.2
Glutamate excitotoxity,5C73
Pachyonychia,EE10.3
Ectodermal dysplasia,LD27.0
Pandemic influenza infection,1E30
Liver failure,DB99.7
Delayed gastric emptying,DA41.00
Keratoconjunctivitis sicca,9A79
Claudication,FA11
Nephropathy,GC2Z
Adenocarcinoma,2D40
Influenza A virus H9N2 infection,1E30
Tularemia,1B94
Androgen deficiency,5A81.1
Myopia,9D00.0
Vasodilatation of extremities,EG00
Advanced sarcoma,2A60-2C35
Stomach disease,DA43-DA4Y
Vascular systems peripheral arterial disorder,BD5Z
Chronic functional vomiting,DD90.4
Adult respiratory distress syndrome,CB00
Inflammatory breast cancer,2C62
Knee injuries,NC9Z
Fatty liver disease,DB92.Z
Graves ophthalmopathy,9C82.3
Neonatal hyperbilirubinemia,KA87
Inner ear disease,AB30-AB37
Memory loss,MB21.1Z
Cheyne-stokes respiration,MD11.Y
Oral candidiasis,1F23.0
Microvascular angina,BA86
Disuse muscle atrophy,8B61
Corneal disease,9A78.Z
"Harmful effects of drugs, medicaments or biological substances",NE60
Ocular infection,1F00.1
Giant axonal neuropathy,8C2Y
CLN2 Batten disease,5C56
Achromatopsia,9B70
GM1 gangliosidosis,5C56.00
Mucopolysaccharidosis I,5C56.30
Peritoneal mesothelioma,2C51.2
Refractory hematologic malignancy,2A85.5
Limb girdle muscular dystrophy,8C70.4
Leukocyte adhesion deficiency type 1,4A00.0Y
Respiratory papillomatosis,2F00.1
Hypoplastic left heart syndrome,LA89.3
Mucopolysaccharidosis type IIIA,5C56.3Y
Homocystinuria,5C50.B
Mucopolysaccharidosis type IIIB,5C56.3Y
Hypophosphatemic rickets,5C63.22
Idiopathic CD4+ lymphocytopenia,4A00.2
Lumbo-sacral radiculopathy,8B93.Y
Leber's congenital amaurosis,9B70
Seasonal influenza,1E30
Canavan disease,5C50.E1
Paraganglioma,2E92.2
Peritoneal carcinomatosis,2D91
X-linked chronic granulomatous disease,4A00
Acute leukaemia,2A60
T lymphoblastic leukaemia,2B33.4
Crigler-Najjar syndrome,5C58.00
CLN1 disease,5C56.1
Krabbe disease,8A44.4
Alzheimer's dementia,6D80
Pseudomonas aeruginosa infections,GC08
Congenital structural myopathy,8C72.0
X-linked retinoschisis,9B73.11
GM2 gangliosidosis,5C56.00
Angiogenesis disorder,BE2Z
Large cell lymphoma,2A80.Z
Deafness,AB52
Intervertebral disc displacement,FB1Y
Mediastinal large B-cell lymphoma,2A60.32
Myxoid round cell liposarcoma,2B59
CLN6 disease,5C56.1
Recurrent malignant glioma,2A00.0
Postoperative ileus,DA91-DB30
Infantile colics,DD93.1
Peripheral ischemia,BD30-BD40
Anaplastic astrocytoma,2A00.0
Myelodysplastic malignancy,2A44
B-cell prolymphocytic leukaemia,2A82.1
Globoid cell leukodystrophy,8A44.4
Semliki forest virus infection,1D9Y
Cockayne syndrome,LD2B
Malignant primary brain tumour,2A00.0
Immunoproliferative disorder,2B32
Factor VII deficiency,3B14
Locally advanced rectal cancer,2B92
Ataxic disorder,8A03
Visual disturbance,9D90
Chronic fatigue syndrome,8E49
Angioedema,4A00.15
Burns,N.A.
Neurofibromatosis type 2,LD2D.11
B-lineage leukaemia,2A82.1
B-lineage lymphoma,2A86
T-cell acute lymphoblastic leukaemia,2A90.5
Head injury,NA00-NA0Z
Choriocarcinoma,2C75.0
Rectosigmoid junction cancer,2B91.Z
X-linked myotubular myopathy,8C72
Myopic macular degeneration,9B75.Y
Blindness,9D90
B-cell acute lymphoblastic leukaemia,2B33.3
Nipah virus infection,1D63
Zika virus infection,1D48
Alloimmune thrombocytopenia,3B64.13
Amyloid transthyretin cardiomyopathy,5D00.20
Filarial disease,1F66
Tay-sachs disease,5C56.00
Lassa fever,1D61.2
Klebsiella pneumonie,CA40.03
Transthyretin amyloidosis,5D00
Agitation,6A70.3
Acinetobacter baumannii infection,CA40.0Y
Multidrug resistant infection,MG51
Coccidioidomycosis,1F25
Henipavirus Encephalitis,1D63
Peritoneal metastasis,2D91
Ascites,ME04
Spinocerebellar ataxia type 3,8A03.16
Glycogen storage disease type IA,5C51.3
Invasive prostate cancer,2C82
Herpes simplex infection,1F00
Limb girdle muscular dystrophy 2B,8C70.41
Chronic tympanic membrane perforation,AB13
