disease_name,icd11_code
Iron-deficiency anemia,3A00
Epilepsy,8A60-8A68
Alcohol dependence,6C40.2
Clostridium infection,1A04
Gonorrheal vaginitis,GA02
High blood pressure,BA00
Morning sickness,SC00
Acute bronchitis,CA42
Musculoskeletal disorder,FA00-FC0Z
Gastrointestinal cancer,2C11
Nausea,MD90
Bone marrow transplantation,QB63.6
Magnesium intoxication,5C64.4
Pseudomonas infection,1B92
Cerebral vasospasm,BA85.Z
Neuromyelitis optica spectrum disorder,8E4A.0
Mycobacterium infection,1B10-1B21
Radionuclide imaging,N.A.
Helicobacter infection,DA42-DA63
Inborn error of metabolism,5C50-5C59
Hemorrhoids,DB60
Fungal infection,1F29-1F2F
Pain,MG30-MG3Z
Hypoactive sexual desire dysfunction,HA00
Hepatitis C virus infection,1E51.1
MRSA infection,1D01.0Y
Poisoning due to pesticides and chemicals,NE6Z
Osteoporosis,FB83.0
Fibrosis,GA14-GC01
African trypanosomiasis,1F51
Trypanosomiasis,1D51-1F53
Behcet disease,4A62
Major depressive disorder,6A70.3
Thrombin deficiency,3B14.Z
Eye inflammation,9A02
Pulmonary arterial hypertension,BB01.0
Salmonella infection,1A09
Chronic obstructive pulmonary disease,CA22
Chronic breathing disorder,7A4Z
Smoking dependence,6C4A.2
Back pain,ME84.Z
Constipation,DD91.1
Narcotic depression,6A7Z
Respiratory depression,MD11.5
Opioid dependence,6C43.2Z
Medical abortion,JA00.1Z
Poison intoxication,NE6Z
Imaging,QA0B
Malignant essential hypertension,BA00
Dermatomycosis,EA60
Impetigo,1B72
Infertility,GB04
Muscle spasm,MB47.3
Ventricular tachycardia,BC71
Epileptic seizures,8A61-8A6Z
Postpartum depression,6E20.0
Parasitic infection,1D0Y-1G2Z
Neisseria meningitis infection,1C1C.0
Alzheimer disease,8A20
Benign prostatic hyperplasia,GA90
Canine and feline spontaneous neoplasm,2A00-2F9Z
Analgesia,MB40.8
Plaque psoriasis,EA90.0
Psoriatic arthritis,FA21
Thrombosis,DB61-GB90
Arterial thrombosis,DB61-DD30
Chronic pain,MG30
Attention deficit hyperactivity disorder,6A05.Z
Hyperprolactinaemia,5A60.1
Palmoplantar pustulosis,EA90.42
Musculoskeletal pain,MG30
Angina pectoris,BA40
Lyme disease,1C1G
Merkel cell carcinoma,2C34
Colon cancer,2B90.Z
Head and neck cancer,2D42
Testicular cancer,2C80
Cartilage lesions,NC93.3Z
Generalized myasthenia gravis,8C60
Myasthenia gravis,8C6Y
Cystic fibrosis,CA25
Cardiac arrhythmias,BC9Z
Adrenocortical insufficiency,5A74
Mood disorder,6A60-6E23
Eating disorder,6B82
Bordetella pertussis infection,1C12.0
Addison disease,5A74.0
Gastrointestinal disease,DE2Z
Hutchinson-Gilford progeria syndrome,LD2B
Contact dermatitis,EK0Z
Anabolic metabolism,5C50-5C8Z
Blood transfusion,QB98
Mycosis fungoides,2B01
Sezary syndrome,2B02
Cutaneous T-cell lymphoma,2B01
T-cell leukaemia,2A90
Urinary incontinence,MF50.2
Horner syndrome,8D8A.1
Thrombocytopenia,3B64
Idiopathic thrombocytopenic purpura,3B64.10
Irritability,MB24
Irritable bowel syndrome,DD91.0
Euvolemic hyponatremia,5C72
Hypercalcaemia,5B91.0
Type-1 diabetes,5A10
Endometriosis,GA10
Vitamin B12 deficiency,5B5F
Lung injury,NB32.3Z
Muscular pain,FB56
Injury,NA00-ND5Z
Peptic ulcer,DA61
Myeloid leukaemia,2B33.1
Hyperhidrosis,EE00
Bone disease,FC0Z
Complex regional pain syndrome,8D8A.0
Immune thrombocytopenic purpura,3B64.13
Essential hypertension,BA00
Cardiac failure,BD10-BD13
Anemia,3A00-3A9Z
Bacillary dysentery,1A02
leukaemia,2A60-2B33
Stomach ulcer,DA60.Z
Excessive sweating,EE00.Z
Genitourinary disease,GA0Z-GC8Z
Amoebiasis,1A36
Coagulation defect,3B10.0
Anal fistula,DB50.1
Pulmonary embolism,BB00
Deep vein thrombosis,BD71
Alpha-1 antitrypsin deficiency,5C5A
Erythropoietic porphyrias,5C58.12
Vitiligo,ED63.0
Senile dementia,6D8Z
Brain ischaemia,8B1Z
Hereditary tyrosinemia type 1,5C50.11
Edema,MG29
Seasonal influenza infection,1E30
Perianal wart,1A95
Nephropathic cystinosis,5C60
Zoster,1E91
Waldenstrom macroglobulinemia,2A85.4
B-cell lymphoma,2A86
Immune System disease,4A01-4B41
Gastrointestinal stromal tumour,2B5B
Systemic mastocytosis,2A21.0
Mast cell leukaemia,2A21.00
HIV-associated lipodystrophy,1C62.1
Primary haemophagocytic lymphohistiocytosis,4A01.23
Cardiac disease,BA00-BE2Z
Discovery agent,N.A.
Idiopathic pulmonary fibrosis,CB03.4
Hepatic fibrosis,DB93.0
Friedreich's ataxia,8A03.10
Chronic granulomatous disease,4A00.0Y
Chronic glaucoma,9C61.0Z
Heart failure,BD10-BD13
Glaucoma/ocular hypertension,9C61
Female genital tract inflammation,GA0Z
Graft-versus-host disease,4B24
Systemic lupus erythematosus,4A40.0
Scleroderma,4A42
Ventricular arrhythmias,BC71
Scorpion envenoming syndrome,8D43
Osteosarcoma,2B51
Neuropathic pain,8E43.0
